;1
975;21.696
976;20.060
977;17.444
978;15.660
979;14.226
980;13.102
981;12.232
982;11.494
983;10.923
984;10.350
985;9.714
986;9.047
987;8.492
988;8.092
989;7.811
990;8.032
991;10.665
992;14.402
993;16.917
994;18.757
995;20.319
996;21.523
997;22.412
998;22.695
999;22.170
1000;20.680
1001;17.513
1002;15.674
1003;14.518
1004;13.715
1005;13.132
1006;12.565
1007;12.027
1008;11.495
1009;11.034
1010;10.588
1011;10.246
1012;9.940
1013;9.520
1014;10.250
1015;13.710
1016;17.085
1017;20.096
1018;22.172
1019;23.754
1020;25.009
1021;25.769
1022;26.018
1023;25.654
1024;24.298
1025;20.355
1026;18.634
1027;17.931
1028;17.061
1029;16.420
1030;15.801
1031;14.386
1032;13.293
1033;12.502
1034;11.933
1035;11.593
1036;11.359
1037;11.199
1038;12.004
1039;15.296
1040;19.155
1041;22.203
1042;24.351
1043;26.046
1044;27.231
1045;27.899
1046;28.061
1047;27.542
1048;25.634
1049;20.516
1050;18.647
1051;17.291
1052;16.144
1053;14.734
1054;13.529
1055;12.560
1056;11.684
1057;10.854
1058;10.162
1059;9.579
1060;8.983
1061;8.394
1062;8.442
1063;10.842
1064;14.114
1065;16.956
1066;19.216
1067;21.132
1068;22.483
1069;23.147
1070;23.157
1071;22.347
1072;20.385
1073;16.802
1074;14.690
1075;13.412
1076;12.534
1077;11.838
1078;11.223
1079;10.579
1080;9.863
1081;9.146
1082;8.451
1083;7.798
1084;7.281
1085;6.857
1086;7.088
1087;9.747
1088;13.139
1089;15.731
1090;18.013
1091;19.988
1092;21.421
1093;22.117
1094;22.176
1095;21.302
1096;19.242
1097;15.975
1098;13.750
1099;12.430
1100;11.509
1101;10.789
1102;10.177
1103;9.613
1104;9.025
1105;8.471
1106;7.927
1107;7.463
1108;7.063
1109;6.606
1110;6.756
1111;9.391
1112;12.729
1113;15.326
1114;17.622
1115;19.624
1116;21.161
1117;21.968
1118;22.035
1119;21.379
1120;19.707
1121;16.451
1122;14.436
1123;13.449
1124;12.710
1125;12.024
1126;11.468
1127;10.970
1128;10.579
1129;10.278
1130;10.039
1131;10.103
1132;9.812
1133;9.465
1134;9.897
1135;12.490
1136;16.172
1137;18.942
1138;21.149
1139;23.003
1140;24.142
1141;25.100
1142;25.321
1143;24.640
1144;22.760
1145;18.954
1146;16.732
1147;15.164
1148;14.310
1149;13.677
1150;13.033
1151;12.252
1152;11.612
1153;11.156
1154;10.744
1155;10.151
1156;9.634
1157;9.230
1158;9.315
1159;11.773
1160;14.924
1161;17.375
1162;19.465
1163;21.114
1164;22.391
1165;23.122
1166;22.787
1167;21.893
1168;20.468
1169;18.203
1170;16.332
1171;15.201
