;1;2;3;4;5;6;7;8;9;10
93;19595.09795;20574.85284;21603.59549;22683.77526;23817.96402;25008.86223;26259.30534;27572.2706;28950.88413;30398.42834
94;16999.01407;17848.96478;18741.41301;19678.48367;20662.40785;21695.52824;22780.30465;23919.31989;25115.28588;26371.05017
95;10553.44046;11081.11248;11635.16811;12216.92651;12827.77284;13469.16148;14142.61955;14849.75053;15592.23806;16371.84996
96;3755.28915;3943.053607;4140.206288;4347.216602;4564.577432;4792.806304;5032.446619;5284.06895;5548.272397;5825.686017
97;3951.907181;4149.50254;4356.977667;4574.826551;4803.567878;5043.746272;5295.933586;5560.730265;5838.766778;6130.705117
98;3974.333782;4173.050471;4381.702994;4600.788144;4830.827551;5072.368929;5325.987375;5592.286744;5871.901081;6165.496135
99;4212.985494;4423.634768;4644.816507;4877.057332;5120.910199;5376.955708;5645.803494;5928.093669;6224.498352;6535.72327
100;4924.479426;5170.703397;5429.238567;5700.700495;5985.73552;6285.022296;6599.273411;6929.237081;7275.698935;7639.483882
101;5138.904472;5395.849695;5665.64218;5948.924289;6246.370503;6558.689029;6886.62348;7230.954654;7592.502387;7972.127506
102;5640.89432;5922.939036;6219.085988;6530.040287;6856.542301;7199.369417;7559.337887;7937.304782;8334.170021;8750.878522
103;8912.766833;9358.405174;9826.325433;10317.6417;10833.52379;11375.19998;11943.95998;12541.15798;13168.21588;13826.62667
104;9092.81631;9547.457126;10024.82998;10526.07148;11052.37506;11604.99381;12185.2435;12794.50567;13434.23096;14105.9425
105;8395.337937;8815.104834;9255.860076;9718.653079;10204.58573;10714.81502;11250.55577;11813.08356;12403.73774;13023.92462
106;8133.497949;8540.172846;8967.181489;9415.540563;9886.317591;10380.63347;10899.66514;11444.6484;12016.88082;12617.72486
107;8412.316716;8832.932552;9274.579179;9738.308138;10225.22355;10736.48472;11273.30896;11836.97441;12428.82313;13050.26428
108;8920.764243;9366.802455;9835.142578;10326.89971;10843.24469;11385.40693;11954.67727;12552.41114;13180.03169;13839.03328
109;9509.597477;9985.077351;10484.33122;11008.54778;11558.97517;12136.92393;12743.77012;13380.95863;14050.00656;14752.50689
110;11792.18322;12381.79238;13000.882;13650.9261;14333.47241;15050.14603;15802.65333;16592.78599;17422.42529;18293.54656
111;12495.04612;13119.79843;13775.78835;14464.57777;15187.80665;15947.19699;16744.55684;17581.78468;18460.87391;19383.91761
112;11262.1068;11825.21214;12416.47275;13037.29638;13689.1612;14373.61926;15092.30022;15846.91524;16639.261;17471.22405
113;9357.198886;9825.05883;10316.31177;10832.12736;11373.73373;11942.42041;12539.54144;13166.51851;13824.84443;14516.08665
114;11086.32742;11640.64379;12222.67598;12833.80978;13475.50027;14149.27528;14856.73904;15599.576;16379.5548;17198.53254
115;14817.18062;15558.03965;16335.94164;17152.73872;18010.37565;18910.89444;19856.43916;20849.26112;21891.72417;22986.31038
116;18379.18137;19298.14044;20263.04746;21276.19983;22340.00982;23457.01031;24629.86083;25861.35387;27154.42156;28512.14264
117;19974.27138;20972.98495;22021.6342;23122.71591;24278.85171;25492.79429;26767.43401;28105.80571;29511.09599;30986.65079
118;16889.09516;17733.54992;18620.22741;19551.23878;20528.80072;21555.24076;22633.0028;23764.65294;24952.88558;26200.52986
119;10619.30453;11150.26976;11707.78325;12293.17241;12907.83103;13553.22258;14230.88371;14942.4279;15689.54929;16474.02676
120;3832.858269;4024.501183;4225.726242;4437.012554;4658.863182;4891.806341;5136.396658;5393.216491;5662.877315;5946.021181
121;4143.658889;4350.841833;4568.383925;4796.803121;5036.643277;5288.475441;5552.899213;5830.544174;6122.071383;6428.174952
122;4260.39401;4473.413711;4697.084396;4931.938616;5178.535547;5437.462324;5709.335441;5994.802213;6294.542323;6609.269439
123;4349.193343;4566.65301;4794.985661;5034.734944;5286.471691;5550.795276;5828.335039;6119.751791;6425.739381;6747.02635
124;4292.493984;4507.118683;4732.474617;4969.098348;5217.553266;5478.430929;5752.352475;6039.970099;6341.968604;6659.067034
125;4397.867421;4617.760792;4848.648832;5091.081274;5345.635337;5612.917104;5893.562959;6188.241107;6497.653163;6822.535821
126;4428.9196;4650.36558;4882.883859;5127.028052;5383.379454;5652.548427;5935.175849;6231.934641;6543.531373;6870.707942
127;6288.967685;6603.416069;6933.586873;7280.266216;7644.279527;8026.493503;8427.818179;8849.209088;9291.669542;9756.253019
128;6983.558044;7332.735946;7699.372743;8084.34138;8488.558449;8912.986372;9358.63569;9826.567475;10317.89585;10833.79064
129;6287.910869;6602.306413;6932.421733;7279.04282;7642.994961;8025.144709;8426.401944;8847.722042;9290.108144;9754.613551
130;7310.98239;7676.53151;8060.358085;8463.37599;8886.544789;9330.872029;9797.41563;10287.28641;10801.65073;11341.73327
131;7970.211555;8368.722132;8787.158239;9226.516151;9687.841959;10172.23406;10680.84576;11214.88805;11775.63245;12364.41407
132;9293.01648;9757.667304;10245.55067;10757.8282;11295.71961;11860.50559;12453.53087;13076.20742;13730.01779;14416.51868
133;9404.470802;9874.694343;10368.42906;10886.85051;11431.19304;12002.75269;12602.89032;13233.03484;13894.68658;14589.42091
134;8928.799401;9375.239371;9844.00134;10336.20141;10853.01148;11395.66205;11965.44515;12563.71741;13191.90328;13851.49845
135;8270.689244;8684.223706;9118.434891;9574.356636;10053.07447;10555.72819;11083.5146;11637.69033;12219.57485;12830.55359
136;7930.859985;8327.402984;8743.773134;9180.96179;9640.00988;10122.01037;10628.11089;11159.51644;11717.49226;12303.36687
137;8577.5383;9006.415215;9456.735976;9929.572775;10426.05141;10947.35398;11494.72168;12069.45777;12672.93066;13306.57719
138;10876.53876;11420.3657;11991.38398;12590.95318;13220.50084;13881.52588;14575.60218;15304.38229;16069.6014;16873.08147
139;13856.86474;14549.70798;15277.19338;16041.05305;16843.1057;17685.26099;18569.52404;19498.00024;20472.90025;21496.54526
140;17928.57546;18825.00423;19766.25444;20754.56716;21792.29552;22881.9103;24026.00581;25227.3061;26488.67141;27813.10498
141;20452.5915;21475.22108;22548.98213;23676.43124;24860.2528;26103.26544;27408.42871;28778.85015;30217.79266;31728.68229
142;18005.74576;18906.03305;19851.3347;20843.90144;21886.09651;22980.40133;24129.4214;25335.89247;26602.68709;27932.82145
143;10017.49478;10518.36952;11044.288;11596.5024;12176.32752;12785.14389;13424.40109;14095.62114;14800.4022;15540.42231
144;4236.72033;4448.556346;4670.984163;4904.533372;5149.76004;5407.248042;5677.610444;5961.490967;6259.565515;6572.543791
145;3949.0157;4146.466485;4353.789809;4571.4793;4800.053264;5040.055928;5292.058724;5556.66166;5834.494743;6126.21948
146;4156.732679;4364.569313;4582.797778;4811.937667;5052.534551;5305.161278;5570.419342;5848.940309;6141.387325;6448.456691
147;4226.831577;4438.173156;4660.081814;4893.085904;5137.7402;5394.62721;5664.35857;5947.576498;6244.955323;6557.20309
148;4185.360279;4394.628293;4614.359708;4845.077693;5087.331578;5341.698157;5608.783064;5889.222218;6183.683328;6492.867495
149;4503.299477;4728.464451;4964.887674;5213.132057;5473.78866;5747.478093;6034.851998;6336.594598;6653.424328;6986.095544
150;4856.307212;5099.122573;5354.078701;5621.782636;5902.871768;6198.015357;6507.916124;6833.311931;7174.977527;7533.726404
151;5861.65058;6154.733109;6462.469764;6785.593253;7124.872915;7481.116561;7855.172389;8247.931009;8660.327559;9093.343937
152;6761.400368;7099.470387;7454.443906;7827.166102;8218.524407;8629.450627;9060.923158;9513.969316;9989.667782;10489.15117
153;14208.3565;14918.77433;15664.71305;16447.9487;17270.34613;18133.86344;19040.55661;19992.58444;20992.21366;22041.82435
154;8323.984839;8740.184081;9177.193285;9636.052949;10117.8556;10623.74838;11154.9358;11712.68258;12298.31671;12913.23255
155;7572.20322;7950.813381;8348.35405;8765.771752;9204.06034;9664.263357;10147.47652;10654.85035;11187.59287;11746.97251
156;10163.11941;10671.27538;11204.83915;11765.08111;12353.33516;12971.00192;13619.55202;14300.52962;15015.5561;15766.33391
157;10254.70983;10767.44532;11305.81759;11871.10847;12464.66389;13087.89708;13742.29194;14429.40653;15150.87686;15908.4207
158;8757.215964;9195.076762;9654.8306;10137.57213;10644.45074;11176.67327;11735.50694;12322.28228;12938.3964;13585.31622
159;8442.799499;8864.939473;9308.186447;9773.595769;10262.27556;10775.38934;11314.1588;11879.86674;12473.86008;13097.55308
160;8105.013863;8510.264556;8935.777784;9382.566673;9851.695007;10344.27976;10861.49375;11404.56843;11974.79685;12573.5367
